.model,Total,Region,County,Sub County
Base,0.525700635,0.593539171,0.655877503,0.650515323
Bottom Up,0.508832128,0.594115639,0.644885082,0.649059885
Top Down,0.525700635,0.806809437,0.738658854,0.716957172
Reconciliation,0.427706419,0.509848248,0.600041529,0.608694316
